"","cód_ibge","distritos","renda","quota","escolaridade","idade","mortalidade","txcresc","causasext","favel","denspop"
"65","65","Raposo Tavares",1296,12.7399997711182,6.40000009536743,23,14.6800003051758,1.01999998092651,56.3499984741211,10.2299995422363,69.2099990844727
"66","66","República",2614,49.3400001525879,8.60000038146973,32,19.3799991607666,-2.99000000953674,71.75,0,215.940002441406
"67","67","Rio Pequeno",184,24.1399993896484,6.80000019073486,25,18.7000007629395,-0.660000026226044,68.4100036621094,19.6700000762939,102.5
"68","68","Sarcomã",1608,19.1000003814697,6.80000019073486,26,13.0200004577637,0.529999971389771,82.1800003051758,20.3400001525879,152.720001220703
"69","69","Santa Cecília",2775,57.1300010681152,8.19999980926514,33,17.5400009155273,-2.45000004768372,64.3000030517578,0,194.429992675781
"70","70","Santana",2329,42.2000007629395,8.30000019073486,32,7.42000007629395,-0.839999973773956,47.0699996948242,0.889999985694885,104.769996643066
"71","71","Santo Amaro",3898,78.9000015258789,9.19999980926514,34,7.44999980926514,-3.5699999332428,62.4300003051758,0,40.3800010681152
"72","72","São Lucas",1423,22.3799991607666,7,28,19.4599990844727,-0.990000009536743,52.2900009155273,1.35000002384186,146.100006103516
"73","73","São Mateus",1229,12.0600004196167,6.5,24,16.9799995422363,1.21000003814697,77.5800018310547,12.4399995803833,123.160003662109
"74","74","São Miguel",1023,14.9200000762939,6.40000009536743,24,22.3500003814697,0.129999995231628,81.8099975585938,5.6100001335144,138.210006713867
"75","75","São Rafael",922,9.84000015258789,6,23,19.4200000762939,2.47000002861023,90.5800018310547,6.78000020980835,76.9199981689453
"76","76","Sapopemba",1087,13.6899995803833,6.09999990463257,24,18.7800006866455,-0.209999993443489,81.1699981689453,9.3100004196167,188.830001831055
"77","77","Saúde",2782,49.2700004577637,8.30000019073486,33,10.9399995803833,-1.42999994754791,46.4599990844727,1.12000000476837,132.350006103516
"78","78","Sé",1366,36.0800018310547,7.09999990463257,29,19.6100006103516,-4.80000019073486,127.370002746582,0,101.209999084473
"79","79","Socorro",1987,36.2999992370605,8,30,6.8600001335144,-2.33999991416931,69.4199981689453,1.30999994277954,29.75
"80","80","Tatuapé",2013,47.6399993896484,8.19999980926514,34,18.2000007629395,-1.0900000333786,43.6800003051758,0,94.5
"81","81","Tremembé",1746,16.8899993896484,6.59999990463257,25,17.2999992370605,2.75999999046326,56.439998626709,2.19000005722046,25.4500007629395
"82","82","Tucuruvi",2381,33.2799987792969,8,31,13.1599998474121,-1.8400000333786,36.8199996948242,0,113.290000915527
"83","83","Vila Andrade",3357,52.0299987792969,6.5,23,15.8999996185303,4.92999982833862,104.5,45.689998626709,52.5699996948242
"84","84","Vila Curuçá",839,10.0299997329712,5.80000019073486,22,21.3099994659424,2.23000001907349,85.8099975585938,6.69999980926514,143.100006103516
"85","85","Vila Formosa",2025,29.6200008392334,7.09999990463257,29,16.0200004577637,-1.37000000476837,48.5499992370605,0.879999995231628,123.529998779297
"86","86","Vila Guilherme",2202,30.5300006866455,7.40000009536743,30,14.0500001907349,-2.77999997138977,50.0999984741211,0,77.5800018310547
"87","87","Vila Jacuí",1118,11.9300003051758,6.09999990463257,23,19.5,1.74000000953674,86.120002746582,10.5200004577637,143.320007324219
"88","88","Vila Leopoldina",2908,44.3899993896484,7.69999980926514,30,18.2600002288818,-0.25,57.060001373291,11.2399997711182,36.7900009155273
"89","89","Vila Maria",1418,18.4300003051758,6.59999990463257,26,13.8699998855591,-1.5900000333786,63.1699981689453,7.59999990463257,95.9400024414062
"90","90","Vila Mariana",3312,63.5400009155273,8.60000038146973,34,9.4399995803833,-1.33000004291534,33.1800003051758,0.870000004768372,144.410003662109
"91","91","Vila Matilde",1530,26,7.40000009536743,29,19.1299991607666,-1.83000004291534,58.7299995422363,0,111.699996948242
"92","92","Vila Medeiros",1405,19.7600002288818,6.80000019073486,27,15.4300003051758,-1.4099999666214,77.9800033569336,2.49000000953674,188.929992675781
"93","93","Vila Prudente",1755,32.0800018310547,7.19999980926514,30,14.3599996566772,-2.54999995231628,66.5100021362305,7.42999982833862,101.440002441406
"94","94","Vila Sônia",2970,41.4099998474121,7.40000009536743,27,16.7600002288818,-0.899999976158142,74.6800003051758,14.9300003051758,80.120002746582
"95","95","São Domingos",2047,23.5100002288818,6.80000019073486,26,14.3000001907349,0.709999978542328,62.3499984741211,8.55000019073486,72.9199981689453
"96","96","Lajeado",775,8.48999977111816,5.40000009536743,21,18.6499996185303,2.82999992370605,103.319999694824,3.83999991416931,141.009994506836
